PLAYID,GAIN
501,5.595983911461307
502,1.3710265244457314
503,7.098728398824282
504,1.481775489253973
505,-0.02219429888033536
506,7.783702134741516
507,4.481248958953836
508,10.462056552201226
509,4.024819547879793
510,3.7751367870682606
511,5.497620879311082
512,4.899182875208494
513,5.612692357815977
514,0.7158114420619686
515,4.39534246915283
516,0.5967425367151297
517,8.505868682774647
518,2.2278648893269857
519,4.031135038576142
520,9.883150090239646
521,4.938296967245751
522,3.723595331264744
523,0.7552940038419083
524,3.6964329911722973
525,0.9257682475692448
526,14.39645591961714
527,7.519005871110526
528,7.850907947017184
529,0.5462703952883614
530,8.913940424961913
531,4.411022654252532
532,4.713835513254251
533,5.40421823996736
534,-3.063121069955472
535,5.098872930435338
536,1.0455179253013651
537,5.151550305265222
538,0.656864943316479
539,3.5294898663490284
540,0.8574753020836609
541,3.860829806535752
542,6.724154956490235
543,3.7805103241211375
544,0.42303550018332786
545,4.3337178272564945
546,8.144713264983936
547,1.1170354716847384
548,0.17381089820556855
549,10.9251587035558
550,6.313115483048061
551,1.611766629510213
552,8.63889131207817
553,0.12243317930161102
554,9.541773464067127
555,7.77919859912646
556,5.255149827551272
557,5.197686704243952
558,4.447696748196803
559,7.227449747841839
560,11.448840858788897
561,1.7547167346267383
562,0.7152928179100022
563,1.318388016196768
564,4.324057462784289
565,43.88599477890328
566,9.537590724184307
567,5.479094166850048
568,0.7218013511042007
569,5.6069416365918805
570,9.438874550680886
571,4.446684982827152
572,4.953880633121548
573,3.479208298643213
574,0.9617521937896293
575,4.8373935474377046
576,4.819297305469689
577,4.3763093563071
578,16.975482730280966
579,8.581947486861697
580,-4.422265272561578
581,8.672246951607118
582,5.2933377005706586
583,4.33175168475837
584,4.79188053800036
585,4.498464472310866
586,4.249993250042072
587,9.84485424506906
588,4.499075711123753
589,11.89552677144205
590,1.7054627338248314
591,4.27732462757167
592,7.717666024585574
593,4.669893546792148
594,0.7344635791608225
595,8.784703457683325
596,8.755615263892176
597,7.408245439135007
598,3.2857206969508947
599,14.602917883333198
600,5.815359479092658
601,4.538627465206661
602,4.359930211410509
603,4.665911538092237
604,0.5899849929037069
605,6.660844265613145
606,7.4292062682872695
607,5.47395919548388
608,4.6416844534013695
609,0.8569822212196364
610,4.86319324842686
611,5.755564772641835
612,3.1828387441488664
613,1.0637068519959074
614,7.445672208363558
615,5.979198064235172
616,5.222906012493574
617,44.82123030729714
618,11.616503083227254
619,4.18821422424188
620,4.970659163813162
621,5.044485854100181
622,6.621937669755819
623,5.1075115476306685
624,0.6852425668618258
625,1.3424284465385246
